n,itterative,binet_formula
501.0,2.4707987904548645e-05,4.792120307683945e-06
631.0,2.2541964426636696e-05,2.834014594554901e-06
794.0,2.8667040169239044e-05,3.00002284348011e-06
1000.0,3.7250109016895294e-05,2.4579931050539017e-06
1259.0,4.7250185161828995e-05,2.334127202630043e-06
1585.0,6.454112008213997e-05,2.4170149117708206e-06
1995.0,8.837506175041199e-05,2.375105395913124e-06
2512.0,0.00012550014071166515,2.333894371986389e-06
3162.0,0.00017808284610509872,2.4158507585525513e-06
3981.0,0.00025941687636077404,2.4170149117708206e-06
5012.0,0.0003893328830599785,2.458924427628517e-06
6310.0,0.0006678751669824123,2.3329630494117737e-06
7943.0,0.001105374889448285,5.166046321392059e-06
10000.0,0.001665417104959488,3.1660310924053192e-06
12589.0,0.002445833059027791,3.2079406082630157e-06
15849.0,0.003676624968647957,2.5420449674129486e-06
